key,name_key,name,position,consensus_adp,n_sources,ESPN,Sleeper,consensus_rank
michaelpittmanjr,michaelpittmanjr,Michael Pittman Jr.,WR,84.15,2,90.3,78.0,80.0
losangelesrams,losangelesrams,Los Angeles Rams,DST,85.0,1,,85.0,81.0
calebwilliams,calebwilliams,Caleb Williams,QB,85.41,2,91.83,79.0,82.0
bonix,bonix,Bo Nix,QB,86.48,2,91.97,81.0,83.0
georgekittle,georgekittle,George Kittle,TE,88.81,2,95.61,82.0,84.0
trevorlawrence,trevorlawrence,Trevor Lawrence,QB,89.23,2,95.46,83.0,85.0
broncosdst,broncosdst,Broncos D/ST,DST,89.39,1,89.39,,86.0
alecpierce,alecpierce,Alec Pierce,WR,90.02,2,96.03,84.0,87.0
jordyntyson,jordyntyson,Jordyn Tyson,WR,92.0,2,98.01,86.0,88.0
texansdst,texansdst,Texans D/ST,DST,92.56,1,92.56,,89.0
christianwatson,christianwatson,Christian Watson,WR,93.79,2,100.58,87.0,90.0
dallasgoedert,dallasgoedert,Dallas Goedert,TE,95.03,2,102.07,88.0,91.0
traviskelce,traviskelce,Travis Kelce,TE,95.59,2,102.18,89.0,92.0
parkerwashington,parkerwashington,Parker Washington,WR,96.4,2,102.8,90.0,93.0
tuckerkraft,tuckerkraft,Tucker Kraft,TE,96.4,2,100.8,92.0,94.0
jaylenwarren,jaylenwarren,Jaylen Warren,RB,97.18,2,103.36,91.0,95.0
seattleseahawks,seattleseahawks,Seattle Seahawks,DST,98.0,1,,98.0,96.0
ramsdst,ramsdst,Rams D/ST,DST,98.04,1,98.04,,97.0
brockpurdy,brockpurdy,Brock Purdy,QB,98.33,2,103.65,93.0,98.0
brianthomasjr,brianthomasjr,Brian Thomas Jr.,WR,99.09,2,104.19,94.0,99.0
patrickmahomes,patrickmahomes,Patrick Mahomes,QB,100.27,2,105.53,95.0,100.0
michaelwilson,michaelwilson,Michael Wilson,WR,100.33,2,104.65,96.0,101.0
matthewgolden,matthewgolden,Matthew Golden,WR,101.94,2,106.88,97.0,102.0
camerondicker,camerondicker,Cameron Dicker,K,103.53,2,108.05,99.0,103.0
ricodowdle,ricodowdle,Rico Dowdle,RB,104.3,2,108.59,100.0,104.0
justinherbert,justinherbert,Justin Herbert,QB,104.8,2,108.6,101.0,105.0
jakeferguson,jakeferguson,Jake Ferguson,TE,106.84,2,111.69,102.0,106.0
seahawksdst,seahawksdst,Seahawks D/ST,DST,107.54,1,107.54,,107.0
makailemon,makailemon,Makai Lemon,WR,107.59,2,112.17,103.0,108.0
chubahubbard,chubahubbard,Chuba Hubbard,RB,108.28,2,112.55,104.0,109.0
rhamondrestevenson,rhamondrestevenson,Rhamondre Stevenson,RB,108.71,2,112.42,105.0,110.0
pittsburghsteelers,pittsburghsteelers,Pittsburgh Steelers,DST,109.0,1,,109.0,111.0
jakobimeyers,jakobimeyers,Jakobi Meyers,WR,110.88,2,115.75,106.0,112.0
wandalerobinson,wandalerobinson,Wan'Dale Robinson,WR,111.44,2,115.87,107.0,113.0
travishunter,travishunter,Travis Hunter,WR,112.47,2,116.93,108.0,114.0
kennethgainwell,kennethgainwell,Kenneth Gainwell,RB,113.0,1,,113.0,115.0
jasonmyers,jasonmyers,Jason Myers,K,113.83,2,117.65,110.0,116.0
aaronjones,aaronjones,Aaron Jones Sr.,RB,116.45,2,121.9,111.0,117.0
jordanaddison,jordanaddison,Jordan Addison,WR,117.04,2,122.08,112.0,118.0
steelersdst,steelersdst,Steelers D/ST,DST,117.52,1,117.52,,119.0
markandrews,markandrews,Mark Andrews,TE,118.25,2,122.49,114.0,120.0
jkdobbins,jkdobbins,J.K. Dobbins,RB,118.84,2,122.69,115.0,121.0
rachaadwhite,rachaadwhite,Rachaad White,RB,120.95,2,125.9,116.0,122.0
joshdowns,joshdowns,Josh Downs,WR,121.23,2,124.46,118.0,123.0
kennygainwell,kennygainwell,Kenny Gainwell,RB,121.91,1,121.91,,124.0
rjharvey,rjharvey,RJ Harvey,RB,121.95,2,126.9,117.0,125.0
baltimoreravens,baltimoreravens,Baltimore Ravens,DST,123.0,1,,123.0,126.0
isaiahlikely,isaiahlikely,Isaiah Likely,TE,123.76,2,128.52,119.0,127.0
jonathonbrooks,jonathonbrooks,Jonathon Brooks,RB,124.03,2,128.05,120.0,128.0
philadelphiaeagles,philadelphiaeagles,Philadelphia Eagles,DST,126.0,1,,126.0,129.0
kylemonangai,kylemonangai,Kyle Monangai,RB,126.45,2,131.9,121.0,130.0
tjhockenson,tjhockenson,T.J. Hockenson,TE,127.53,2,133.07,122.0,131.0
harrisonmevis,harrisonmevis,Harrison Mevis,K,128.71,2,133.42,124.0,132.0
kenyonsadiq,kenyonsadiq,Kenyon Sadiq,TE,129.26,2,133.53,125.0,133.0
kaimifairbairn,kaimifairbairn,Ka'imi Fairbairn,K,131.09,2,135.19,127.0,134.0
xavierworthy,xavierworthy,Xavier Worthy,WR,131.69,2,134.39,129.0,135.0
khalilshakir,khalilshakir,Khalil Shakir,WR,131.81,2,135.61,128.0,136.0
ravensdst,ravensdst,Ravens D/ST,DST,133.18,1,133.18,,137.0
daltonkincaid,daltonkincaid,Dalton Kincaid,TE,133.25,2,136.5,130.0,138.0
camlittle,camlittle,Cam Little,K,133.87,2,136.73,131.0,139.0
eaglesdst,eaglesdst,Eagles D/ST,DST,134.59,1,134.59,,140.0
blakecorum,blakecorum,Blake Corum,RB,135.38,2,138.76,132.0,141.0
jaydenreed,jaydenreed,Jayden Reed,WR,136.15,2,139.3,133.0,142.0
jaredgoff,jaredgoff,Jared Goff,QB,137.09,2,140.18,134.0,143.0
jacorycroskeymerritt,jacorycroskeymerritt,Jacory Croskey-Merritt,RB,138.37,2,141.74,135.0,144.0
hunterhenry,hunterhenry,Hunter Henry,TE,139.09,2,142.19,136.0,145.0
quentinjohnston,quentinjohnston,Quentin Johnston,WR,139.82,2,142.64,137.0,146.0
deebosamuel,deebosamuel,Deebo Samuel,WR,140.21,2,140.42,140.0,147.0
newenglandpatriots,newenglandpatriots,New England Patriots,DST,141.0,1,,141.0,148.0
chrisgodwin,chrisgodwin,Chris Godwin Jr.,WR,141.28,2,144.56,138.0,149.0
kcconcepcion,kcconcepcion,KC Concepcion,WR,142.88,2,146.77,139.0,150.0
bakermayfield,bakermayfield,Baker Mayfield,QB,145.41,2,148.82,142.0,151.0
romeodoubs,romeodoubs,Romeo Doubs,WR,146.38,2,149.77,143.0,152.0
kylermurray,kylermurray,Kyler Murray,QB,146.86,2,149.71,144.0,153.0
patriotsdst,patriotsdst,Patriots D/ST,DST,147.32,1,147.32,,154.0
eddypineiro,eddypineiro,Eddy Pineiro,K,147.55,2,150.09,145.0,155.0
woodymarks,woodymarks,Woody Marks,RB,148.3,2,150.6,146.0,156.0
harrisonbutker,harrisonbutker,Harrison Butker,K,148.69,2,150.39,147.0,157.0
zachcharbonnet,zachcharbonnet,Zach Charbonnet,RB,148.97,2,149.93,148.0,158.0
detroitlions,detroitlions,Detroit Lions,DST,149.0,1,,149.0,159.0
clevelandbrowns,clevelandbrowns,Cleveland Browns,DST,150.0,1,,150.0,160.0
lionsdst,lionsdst,Lions D/ST,DST,151.57,1,151.57,,161.0
neworleanssaints,neworleanssaints,New Orleans Saints,TQB,152.0,1,,152.0,162.0
brownsdst,brownsdst,Browns D/ST,DST,152.28,1,152.28,,163.0
tylershough,tylershough,Tyler Shough,QB,152.94,2,153.88,152.0,164.0
jordanmason,jordanmason,Jordan Mason,RB,153.06,2,155.12,151.0,165.0
jakebates,jakebates,Jake Bates,K,154.49,2,154.97,154.0,166.0
rashidshaheed,rashidshaheed,Rashid Shaheed,WR,155.52,2,156.04,155.0,167.0
alvinkamara,alvinkamara,Alvin Kamara,RB,156.22,2,156.45,156.0,168.0
isiahpacheco,isiahpacheco,Isiah Pacheco,RB,157.32,2,157.65,157.0,169.0
rickypearsall,rickypearsall,Ricky Pearsall,WR,158.18,2,163.36,153.0,170.0
jaydenhiggins,jaydenhiggins,Jayden Higgins,WR,158.33,2,158.67,158.0,171.0
jordanlove,jordanlove,Jordan Love,QB,159.12,2,159.23,159.0,172.0
jalencoker,jalencoker,Jalen Coker,WR,159.78,2,159.56,160.0,173.0
danieljones,danieljones,Daniel Jones,QB,160.68,2,160.36,161.0,174.0
indianapoliscolts,indianapoliscolts,Indianapolis Colts,TQB,161.0,1,,161.0,175.0
jerryjeudy,jerryjeudy,Jerry Jeudy,WR,161.7,2,161.4,162.0,176.0
chiefsdst,chiefsdst,Chiefs D/ST,DST,162.01,1,162.01,,177.0
chargersdst,chargersdst,Chargers D/ST,DST,162.24,1,162.24,,178.0
kansascitychiefs,kansascitychiefs,Kansas City Chiefs,DST,163.0,1,,163.0,179.0
chrisboswell,chrisboswell,Chris Boswell,K,163.72,2,162.45,165.0,180.0
losangeleschargers,losangeleschargers,Los Angeles Chargers,DST,164.0,1,,164.0,181.0
tylerloop,tylerloop,Tyler Loop,K,164.49,2,162.98,166.0,182.0
juwanjohnson,juwanjohnson,Juwan Johnson,TE,165.25,2,163.49,167.0,183.0
samdarnold,samdarnold,Sam Darnold,QB,165.77,2,163.54,168.0,184.0
jaguarsdst,jaguarsdst,Jaguars D/ST,DST,165.83,1,165.83,,185.0
cowboysdst,cowboysdst,Cowboys D/ST,DST,167.28,1,167.28,,186.0
camward,camward,Cam Ward,QB,167.31,1,167.31,,187.0
willreichard,willreichard,Will Reichard,K,167.38,2,165.77,169.0,188.0
packersdst,packersdst,Packers D/ST,DST,167.91,1,167.91,,189.0
49ersdst,49ersdst,49ers D/ST,DST,168.43,1,168.43,,190.0
cjstroud,cjstroud,C.J. Stroud,QB,168.47,2,165.93,171.0,191.0
chigokonkwo,chigokonkwo,Chig Okonkwo,TE,168.51,1,168.51,,192.0
tankdell,tankdell,Tank Dell,WR,168.93,1,168.93,,193.0
vikingsdst,vikingsdst,Vikings D/ST,DST,168.93,1,168.93,,194.0
billsdst,billsdst,Bills D/ST,DST,169.13,1,169.13,,195.0
giantsdst,giantsdst,Giants D/ST,DST,169.18,1,169.18,,196.0
stefondiggs,stefondiggs,Stefon Diggs,WR,169.22,2,166.45,172.0,197.0
buccaneersdst,buccaneersdst,Buccaneers D/ST,DST,169.4,1,169.4,,198.0
dolphinsdst,dolphinsdst,Dolphins D/ST,DST,169.49,1,169.49,,199.0
bearsdst,bearsdst,Bears D/ST,DST,169.5,1,169.5,,200.0
bengalsdst,bengalsdst,Bengals D/ST,DST,169.55,1,169.55,,201.0
raidersdst,raidersdst,Raiders D/ST,DST,169.6,1,169.6,,202.0
commandersdst,commandersdst,Commanders D/ST,DST,169.61,1,169.61,,203.0
panthersdst,panthersdst,Panthers D/ST,DST,169.67,1,169.67,,204.0
cardinalsdst,cardinalsdst,Cardinals D/ST,DST,169.73,1,169.73,,205.0
jetsdst,jetsdst,Jets D/ST,DST,169.89,1,169.89,,206.0
titansdst,titansdst,Titans D/ST,DST,169.91,1,169.91,,207.0
carsonbeck,carsonbeck,Carson Beck,QB,169.91,1,169.91,,208.0
noahgray,noahgray,Noah Gray,TE,169.93,1,169.93,,209.0
cairosantos,cairosantos,Cairo Santos,K,169.93,2,166.86,173.0,210.0
elijahhiggins,elijahhiggins,Elijah Higgins,TE,169.94,1,169.94,,211.0
joshwilliams,joshwilliams,Josh Williams,RB,169.94,1,169.94,,212.0
devontezwalker,devontezwalker,Devontez Walker,WR,169.94,1,169.94,,213.0
anthonyrichardson,anthonyrichardson,Anthony Richardson Sr.,QB,169.95,1,169.95,,214.0
malachifields,malachifields,Malachi Fields,WR,169.95,1,169.95,,215.0
willkacmarek,willkacmarek,Will Kacmarek,TE,169.95,1,169.95,,216.0
mitchellevans,mitchellevans,Mitchell Evans,TE,169.95,1,169.95,,217.0
brycelance,brycelance,Bryce Lance,WR,169.95,1,169.95,,218.0
erickall,erickall,Erick All Jr.,TE,169.95,1,169.95,,219.0
lukemccaffrey,lukemccaffrey,Luke McCaffrey,WR,169.95,1,169.95,,220.0
tutuatwell,tutuatwell,Tutu Atwell,WR,169.96,1,169.96,,221.0
drewsample,drewsample,Drew Sample,TE,169.96,1,169.96,,222.0
jacobsaylors,jacobsaylors,Jacob Saylors,RB,169.96,1,169.96,,223.0
samhowell,samhowell,Sam Howell,QB,169.96,1,169.96,,224.0
michaelpenix,michaelpenix,Michael Penix Jr.,QB,169.97,1,169.97,,225.0
jarrettstidham,jarrettstidham,Jarrett Stidham,QB,169.97,1,169.97,,226.0
cadestover,cadestover,Cade Stover,TE,169.97,1,169.97,,227.0
johnbates,johnbates,John Bates,TE,169.97,1,169.97,,228.0
noahfant,noahfant,Noah Fant,TE,169.97,1,169.97,,229.0
ashtondulin,ashtondulin,Ashton Dulin,WR,169.98,1,169.98,,230.0
kevincoleman,kevincoleman,Kevin Coleman Jr.,WR,169.98,1,169.98,,231.0
jatavionsanders,jatavionsanders,Ja'Tavion Sanders,TE,169.98,1,169.98,,232.0
maxklare,maxklare,Max Klare,TE,169.98,1,169.98,,233.0
joeflacco,joeflacco,Joe Flacco,QB,169.98,1,169.98,,234.0
elistowers,elistowers,Eli Stowers,TE,169.99,1,169.99,,235.0
jakebrowning,jakebrowning,Jake Browning,QB,169.99,1,169.99,,236.0
charliekolar,charliekolar,Charlie Kolar,TE,169.99,1,169.99,,237.0
joeyslye,joeyslye,Joey Slye,K,169.99,1,169.99,,238.0
xavierhutchinson,xavierhutchinson,Xavier Hutchinson,WR,169.99,1,169.99,,239.0
marquisebrown,marquisebrown,Hollywood Brown,WR,170.0,1,170.0,,240.0
emmettjohnson,emmettjohnson,Emmett Johnson,RB,170.0,1,170.0,,241.0
kendrickbourne,kendrickbourne,Kendrick Bourne,WR,170.0,1,170.0,,242.0
kylejuszczyk,kylejuszczyk,Kyle Juszczyk,RB,170.0,1,170.0,,243.0
jacksonvillejaguars,jacksonvillejaguars,Jacksonville Jaguars,DST,170.0,1,,170.0,244.0
deejaydallas,deejaydallas,DeeJay Dallas,RB,170.01,1,170.01,,245.0
marcusmariota,marcusmariota,Marcus Mariota,QB,170.02,1,170.02,,246.0
austinhooper,austinhooper,Austin Hooper,TE,170.02,1,170.02,,247.0
malikdavis,malikdavis,Malik Davis,RB,170.02,1,170.02,,248.0
rasheenali,rasheenali,Rasheen Ali,RB,170.03,1,170.03,,249.0
willshipley,willshipley,Will Shipley,RB,170.03,1,170.03,,250.0
jacobybrissett,jacobybrissett,Jacoby Brissett,QB,170.03,1,170.03,,251.0
kalebjohnson,kalebjohnson,Kaleb Johnson,RB,170.03,1,170.03,,252.0
jaylinlane,jaylinlane,Jaylin Lane,WR,170.04,1,170.04,,253.0
nickmullens,nickmullens,Nick Mullens,QB,170.04,1,170.04,,254.0
ryanflournoy,ryanflournoy,Ryan Flournoy,WR,170.04,1,170.04,,255.0
charliesmyth,charliesmyth,Charlie Smyth,K,170.05,1,170.05,,256.0
nickwestbrookikhine,nickwestbrookikhine,Nick Westbrook-Ikhine,WR,170.06,1,170.06,,257.0
saintsdst,saintsdst,Saints D/ST,DST,170.06,1,170.06,,258.0
dylanlaube,dylanlaube,Dylan Laube,RB,170.06,1,170.06,,259.0
tyquanthornton,tyquanthornton,Tyquan Thornton,WR,170.06,1,170.06,,260.0
kirkcousins,kirkcousins,Kirk Cousins,QB,170.06,1,170.06,,261.0
trevoretienne,trevoretienne,Trevor Etienne,RB,170.07,1,170.07,,262.0
brashardsmith,brashardsmith,Brashard Smith,RB,170.07,1,170.07,,263.0
tahjbrooks,tahjbrooks,Tahj Brooks,RB,170.07,1,170.07,,264.0
kendremiller,kendremiller,Kendre Miller,RB,170.07,1,170.07,,265.0
jaydonblue,jaydonblue,Jaydon Blue,RB,170.07,1,170.07,,266.0
devinsingletary,devinsingletary,Devin Singletary,RB,170.08,1,170.08,,267.0
kenenwangwu,kenenwangwu,Kene Nwangwu,RB,170.08,1,170.08,,268.0
bamknight,bamknight,Bam Knight,RB,170.09,1,170.09,,269.0
savionwilliams,savionwilliams,Savion Williams,WR,170.09,1,170.09,,270.0
nickfolk,nickfolk,Nick Folk,K,170.1,1,170.1,,271.0
treylonburks,treylonburks,Treylon Burks,WR,170.1,1,170.1,,272.0
isaacguerendo,isaacguerendo,Isaac Guerendo,RB,170.1,1,170.1,,273.0
malikwashington,malikwashington,Malik Washington,WR,170.1,1,170.1,,274.0
marvinmims,marvinmims,Marvin Mims Jr.,WR,170.1,1,170.1,,275.0
jawharjordan,jawharjordan,Jawhar Jordan,RB,170.1,1,170.1,,276.0
jahandotson,jahandotson,Jahan Dotson,WR,170.12,1,170.12,,277.0
tylerbadie,tylerbadie,Tyler Badie,RB,170.12,1,170.12,,278.0
djgiddens,djgiddens,DJ Giddens,RB,170.12,1,170.12,,279.0
dariusslayton,dariusslayton,Darius Slayton,WR,170.12,1,170.12,,280.0
michaelmayer,michaelmayer,Michael Mayer,TE,170.13,1,170.13,,281.0
elijahsarratt,elijahsarratt,Elijah Sarratt,WR,170.14,1,170.14,,282.0
chrisbrooks,chrisbrooks,Chris Brooks,RB,170.14,1,170.14,,283.0
sethmcgowan,sethmcgowan,Seth McGowan,RB,170.14,1,170.14,,284.0
gunnarhelm,gunnarhelm,Gunnar Helm,TE,170.16,1,170.16,,285.0
jaylenwright,jaylenwright,Jaylen Wright,RB,170.16,1,170.16,,286.0
keoncoleman,keoncoleman,Keon Coleman,WR,170.16,1,170.16,,287.0
isaiahdavis,isaiahdavis,Isaiah Davis,RB,170.17,1,170.17,,288.0
kaelonblack,kaelonblack,Kaelon Black,RB,170.18,1,170.18,,289.0
jamesconner,jamesconner,James Conner,RB,170.18,1,170.18,,290.0
georgeholani,georgeholani,George Holani,RB,170.18,1,170.18,,291.0
dyamibrown,dyamibrown,Dyami Brown,WR,170.18,1,170.18,,292.0
emaridemercado,emaridemercado,Emari Demercado,RB,170.18,1,170.18,,293.0
nicholassingleton,nicholassingleton,Nicholas Singleton,RB,170.18,1,170.18,,294.0
blakegrupe,blakegrupe,Blake Grupe,K,170.19,1,170.19,,295.0
seantucker,seantucker,Sean Tucker,RB,170.21,1,170.21,,296.0
coltsdst,coltsdst,Colts D/ST,DST,170.21,1,170.21,,297.0
zachariahbranch,zachariahbranch,Zachariah Branch,WR,170.23,1,170.23,,298.0
lequintallen,lequintallen,LeQuint Allen Jr.,RB,170.24,1,170.24,,299.0
jonahcoleman,jonahcoleman,Jonah Coleman,RB,170.25,1,170.25,,300.0
adamrandall,adamrandall,Adam Randall,RB,170.25,1,170.25,,301.0
tedhurst,tedhurst,Ted Hurst III,WR,170.25,1,170.25,,302.0
andreiiosivas,andreiiosivas,Andrei Iosivas,WR,170.27,1,170.27,,303.0
tuatagovailoa,tuatagovailoa,Tua Tagovailoa,QB,170.27,1,170.27,,304.0
tyjohnson,tyjohnson,Ty Johnson,RB,170.28,1,170.28,,305.0
olliegordon,olliegordon,Ollie Gordon II,RB,170.28,1,170.28,,306.0
calebdouglas,calebdouglas,Caleb Douglas,WR,170.29,1,170.29,,307.0
demondclaiborne,demondclaiborne,Demond Claiborne,RB,170.29,1,170.29,,308.0
kaytronallen,kaytronallen,Kaytron Allen,RB,170.29,1,170.29,,309.0
kimanividal,kimanividal,Kimani Vidal,RB,170.31,1,170.31,,310.0
jalentolbert,jalentolbert,Jalen Tolbert,WR,170.32,1,170.32,,311.0
braelonallen,braelonallen,Braelon Allen,RB,170.36,1,170.36,,312.0
mikewashington,mikewashington,Mike Washington Jr.,RB,170.36,1,170.36,,313.0
isaacteslaa,isaacteslaa,Isaac TeSlaa,WR,170.37,1,170.37,,314.0
andyborregales,andyborregales,Andy Borregales,K,170.38,1,170.38,,315.0
antoniowilliams,antoniowilliams,Antonio Williams,WR,170.38,1,170.38,,316.0
germiebernard,germiebernard,Germie Bernard,WR,170.4,1,170.4,,317.0
emanuelwilson,emanuelwilson,Emanuel Wilson,RB,170.4,1,170.4,,318.0
theojohnson,theojohnson,Theo Johnson,TE,170.42,1,170.42,,319.0
malikwillis,malikwillis,Malik Willis,QB,170.44,2,166.89,174.0,320.0
willutz,willutz,Wil Lutz,K,170.45,1,170.45,,321.0
genosmith,genosmith,Geno Smith,QB,170.46,1,170.46,,322.0
falconsdst,falconsdst,Falcons D/ST,DST,170.49,1,170.49,,323.0
gregdulcich,gregdulcich,Greg Dulcich,TE,170.5,1,170.5,,324.0
jordanjames,jordanjames,Jordan James,RB,170.55,1,170.55,,325.0
darnellmooney,darnellmooney,Darnell Mooney,WR,170.56,1,170.56,,326.0
evanengram,evanengram,Evan Engram,TE,170.62,1,170.62,,327.0
cadeotton,cadeotton,Cade Otton,TE,170.64,1,170.64,,328.0
dontayvionwicks,dontayvionwicks,Dontayvion Wicks,WR,170.66,1,170.66,,329.0
kayshonboutte,kayshonboutte,Kayshon Boutte,WR,170.74,1,170.74,,330.0
